"n_features","n_samples","n_subjects","feature_std","A","B","C","feature_std.1","time_effect","timevariability","overall_prob_outcome","sd_outcome","mean","sd","icc","icc_pred","auc_value_base","auc","auc_individual","auc_individual_sd","total_n","auc_c","auc_c_individual","auc_c_individual_sd","sd_intercept","sd_residual"
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.9,0.1,0.915733333333333,0.086597477113976,0.0925819189191826,0.761412069002823,0.770440995106553,0.676836232125437,0.511100777788542,0.179976689696553,123,0.678291080761696,0.500617616185902,0.192010919355615,0.0896269176973164,0.0501710070501971
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.5,0.1,0.485466666666667,0.0996156147072953,0.0348905833253994,0.797442511894011,0.596932623645877,0.55208061453908,0.497397364153137,0.0796926004325569,150,0.558405873134914,0.505243074155913,0.0807749208675672,0.099237181918976,0.0500148398070715
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.2,0.15,0.205066666666667,0.153535500416494,0.140169382472345,0.808840609442617,0.740938894584663,0.680048421160387,0.504202120958512,0.128508071159881,147,0.671483339841194,0.481213741783192,0.12259478660721,0.102643180781301,0.0498995290246165
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.6,0.1,0.608333333333333,0.105301845886972,0.0417330987032975,0.800611188980907,0.609613843336313,0.568455462666559,0.501591117959712,0.0792023909733423,150,0.564297891413067,0.494370507385037,0.0765019697740572,0.100053255822148,0.0499310604340983
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.8,0.1,0.8148,0.104933472052758,0.0682745020746354,0.813260384530553,0.67601077368391,0.617398051911832,0.515768715465688,0.124792991368914,149,0.599831259653452,0.484098502570244,0.128060764769147,0.105242652397853,0.0504307243719443
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.7,0.1,0.7007,0.102760603398084,0.0455626520473118,0.795927712640298,0.616969614879812,0.571297303102384,0.501165866901984,0.0917355772789737,150,0.573278447850577,0.506189983476177,0.0857792147914559,0.0992384704032112,0.0502499072823337
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.8,0.15,0.798333333333333,0.151809739042029,0.138703582628288,0.797493156257619,0.748700451027442,0.681808371396568,0.482337999963823,0.120961279580321,144,0.69774951069407,0.523182188080793,0.134543449093167,0.0985434279691366,0.0496574067517209
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.3,0.15,0.3079,0.156932925012631,0.111037461305213,0.792244466341546,0.694464359476334,0.624811730123947,0.486571409208996,0.0971161466998951,150,0.635839956631666,0.497713263666304,0.10603273577276,0.0979553761700103,0.0501620145311434
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.4,0.15,0.4013,0.146307378464958,0.0844646332623427,0.802448559529577,0.657752983463669,0.615055978128055,0.509182491750805,0.0800919068400955,150,0.604888578323558,0.49614750801431,0.0820762669962577,0.100806352343316,0.0500172027295557
10,200,150,0.1,0,0.1,0.05,0.1,0,0,0.7,0.15,0.703233333333333,0.144372208031538,0.0952840101971952,0.793647279521847,0.681314550298453,0.622985129373598,0.492520166779181,0.089204412469554,150,0.631492782020892,0.498151450566759,0.0936723746800983,0.0980978884637525,0.0500208414145369
