"","outcome","overall_prob_outcome","sd_outcome","num_subjects","num_samples","icc_data","icc_pred","shuffle_AUC random intercept only:","shuffle_Accuracy random intercept only:","shuffle_AUC:","shuffle_Accuracy:","shuffle_Mean AUC within-person:","shuffle_SD AUC within-person:","shuffle_% of AUC > 0.5 within-person:","shuffle_N included within-person:","real_AUC random intercept only:","real_Accuracy random intercept only:","real_AUC:","real_Accuracy:","real_Mean AUC within-person:","real_SD AUC within-person:","real_% of AUC > 0.5 within-person:","real_N included within-person:","centered_AUC random intercept only:","centered_Accuracy random intercept only:","centered_AUC:","centered_Accuracy:","centered_Mean AUC within-person:","centered_SD AUC within-person:","centered_% of AUC > 0.5 within-person:","centered_N included within-person:","subjectwise_AUC random intercept only:","subjectwise_Accuracy random intercept only:","subjectwise_AUC:","subjectwise_Accuracy:","subjectwise_Mean AUC within-person:","subjectwise_SD AUC within-person:","subjectwise_% of AUC > 0.5 within-person:","subjectwise_N included within-person:","movingwindow_AUC random intercept only:","movingwindow_Accuracy random intercept only:","movingwindow_AUC:","movingwindow_Accuracy:","movingwindow_Mean AUC within-person:","movingwindow_SD AUC within-person:","movingwindow_% of AUC > 0.5 within-person:","movingwindow_N included within-person:","movingwindow_Mean AUC random intercept only:","movingwindow_SD AUC within-person base:","movingwindow_% of AUC > 0.5 within-person base:","movingwindow_N included within-person base:","movingwindowshuffle_AUC random intercept only:","movingwindowshuffle_Accuracy random intercept only:","movingwindowshuffle_AUC:","movingwindowshuffle_Accuracy:","movingwindowshuffle_Mean AUC within-person:","movingwindowshuffle_SD AUC within-person:","movingwindowshuffle_% of AUC > 0.5 within-person:","movingwindowshuffle_N included within-person:","movingwindowshuffle_Mean AUC random intercept only:","movingwindowshuffle_SD AUC within-person base:","movingwindowshuffle_% of AUC > 0.5 within-person base:","movingwindowshuffle_N included within-person base:"
"11","physically_hungry",0.117666666666667,0.0764146281957771,30,100,0.046603584203127,0.409785687246869,0.658393295065621,0.895622895622896,0.53772199315493,0.896745230078563,0.50296653364597,0.203042627656216,68,25,0.684532232704403,0.892255892255892,0.523650419287212,0.892255892255892,0.435415439867707,0.165340398578814,41.6666666666667,24,0.684532232704403,0.892255892255892,0.535397012578616,0.890011223344557,0.465648891408022,0.172786909621621,33.3333333333333,24,0,0,0.537150771900077,0.839506172839506,0.53758020376732,0.14274919053058,77.7777777777778,9,0.609703287509745,0.888095238095238,0.548250242427699,0.88452380952381,0.497628849950225,0.131235483421451,41.3793103448276,29,0.432336746721075,0.12922353632915,24.1379310344828,29,0.57747972972973,0.880952380952381,0.53478003003003,0.878174603174603,0.504725325783262,0.166463464564107,43.3333333333333,30,0.437953052046774,0.115017910551255,20,30
"12","physically_tired",0.333,0.17620814494463,30,100,0.130447973024328,0.409785687246869,0.717231489038844,0.707070707070707,0.608407384841762,0.662177328843995,0.509794258499331,0.119176813806518,50,28,0.691463512246438,0.695847362514029,0.585590710544973,0.668911335578002,0.486633267969143,0.139644927407892,40,30,0.691463512246438,0.695847362514029,0.630734443250165,0.655443322109989,0.525961639993433,0.138248497712235,56.6666666666667,30,0,0,0.510937409530427,0.654320987654321,0.521476896036029,0.0868137650718988,55.5555555555556,9,0.69339907418928,0.680952380952381,0.611532409030754,0.648809523809524,0.523949957215387,0.0904049432835995,60,30,0.511451552650431,0.0997104229877013,56.6666666666667,30,0.668527870075872,0.686111111111111,0.572550684980188,0.648809523809524,0.487614549053627,0.0919898547912307,43.3333333333333,30,0.443095540207927,0.0781321783575145,20,30
"13","physically_uncomfortable",0.155666666666667,0.149682038480501,30,100,0.161110893116431,0.409785687246869,0.794103015459972,0.83726150392817,0.655967778968314,0.83726150392817,0.510205770071412,0.199668798637745,47.8260869565217,23,0.793566693451185,0.85297418630752,0.68473784652471,0.856341189674523,0.614697807935575,0.186615591574845,72,25,0.793566693451185,0.85297418630752,0.670213941341905,0.855218855218855,0.541981581456815,0.190714355634752,64,25,0,0,0.490080693142942,0.826038159371493,0.513685124406674,0.0885484808263246,62.5,8,0.77194846498035,0.85,0.665768512637826,0.839285714285714,0.56298112447193,0.17340862936997,78.5714285714286,28,0.544031938210542,0.162663572277058,71.4285714285714,28,0.752044894580864,0.843650793650794,0.60927287164585,0.839285714285714,0.452855257785279,0.129314109327337,33.3333333333333,27,0.452238030537122,0.112219004698367,29.6296296296296,27
"14","physically_energized",0.130333333333333,0.104633459846935,30,100,0.0871516783585446,0.409785687246869,0.705255255255255,0.875420875420875,0.556987756987757,0.87317620650954,0.476177899393491,0.158552422754726,39.1304347826087,23,0.736721201255043,0.870931537598204,0.629487897803675,0.865319865319865,0.531914605385123,0.237568770070315,52,25,0.736721201255043,0.870931537598204,0.648812191842224,0.870931537598204,0.520575569871376,0.191168831800778,52,25,0,0,0.566089270295513,0.82716049382716,0.54493684928994,0.0595323101687682,77.7777777777778,9,0.691106834918401,0.878968253968254,0.613553639492284,0.874206349206349,0.559391893206345,0.115211558288211,59.2592592592593,27,0.502735876817152,0.132488035377994,44.4444444444444,27,0.666245727360632,0.871428571428571,0.561488059097348,0.867857142857143,0.493291147451151,0.110195708138929,37.037037037037,27,0.448440809724155,0.0964418290599844,29.6296296296296,27
"15","physically_good",0.426,0.265155777245936,30,100,0.277574518719914,0.409785687246869,0.795339920745201,0.73625140291807,0.686740260408625,0.640852974186307,0.50963832219359,0.129687288580315,50,28,0.780930459722338,0.714927048260382,0.731871934491645,0.666666666666667,0.605789317032513,0.159679538620694,75.8620689655172,29,0.780930459722338,0.714927048260382,0.677661796491811,0.612794612794613,0.522490455782305,0.165217720274246,48.2758620689655,29,0,0,0.644663395589321,0.606060606060606,0.574379935029531,0.0704728284805591,77.7777777777778,9,0.798018958876129,0.726190476190476,0.709802108128238,0.649603174603175,0.530328997149915,0.12555866076962,68.9655172413793,29,0.552286313933638,0.10965330441031,65.5172413793103,29,0.766362160045951,0.694444444444444,0.661141890168989,0.612301587301587,0.50747456263505,0.0724467531954233,51.7241379310345,29,0.447382427816386,0.0712016623186312,20.6896551724138,29
"16","feeling_angry",0.0516666666666667,0.0731122581982705,30,100,0.0996977120357138,0.409785687246869,0.78856514432582,0.946127946127946,0.695556544088574,0.943883277216611,0.5425119578152,0.211965198922593,52.9411764705882,17,0.773462824800617,0.948372615039282,0.710921018780551,0.94949494949495,0.485191900181298,0.235245170827078,58.8235294117647,17,0.773462824800617,0.948372615039282,0.692899408284023,0.948372615039282,0.534619700806835,0.23973818846146,64.7058823529412,17,0,0,0.518135186263097,0.964085297418631,0.639492572404988,0.137107037017113,87.5,8,0.712178096803581,0.946825396825397,0.679084032823346,0.948809523809524,0.506386677469776,0.150624487761105,62.5,24,0.470649197825509,0.175617450744494,45.8333333333333,24,0.683926648538626,0.948015873015873,0.680050741470927,0.945634920634921,0.471208265463857,0.218257671776937,50,24,0.344285342030223,0.167476206485198,16.6666666666667,24
"17","feeling_anxious",0.220333333333333,0.2083346666624,30,100,0.242978186518634,0.409785687246869,0.799863003821473,0.820426487093154,0.678055375297426,0.777777777777778,0.43590869343692,0.198623108124284,30.7692307692308,26,0.780629176364592,0.841750841750842,0.733722501689316,0.805836139169472,0.553761011633311,0.178411341598458,74.0740740740741,27,0.780629176364592,0.841750841750842,0.719963961258352,0.815937149270483,0.514559301896914,0.187171237197916,59.2592592592593,27,0,0,0.589981006647674,0.78675645342312,0.584706647244388,0.0742062002959727,88.8888888888889,9,0.787147500118769,0.831746031746032,0.707212594933819,0.798809523809524,0.533855866669169,0.151745175550636,53.3333333333333,30,0.551682983383435,0.139672330891364,60,30,0.754003443802855,0.815873015873016,0.661068112095507,0.775396825396825,0.455911070340934,0.121180669771931,30,30,0.4048814536837,0.0937455330695817,10,30
"18","feeling_awe",0.0243333333333333,0.0383885160030906,30,100,0.0524690701860695,0.409785687246869,0.801041875375676,0.974186307519641,0.552644760569024,0.974186307519641,0.454777688309264,0.235418702524031,27.2727272727273,11,0.656080945702264,0.974186307519641,0.56043378080545,0.974186307519641,0.505232911620857,0.216790622957272,36.3636363636364,11,0.656080945702264,0.974186307519641,0.579092366259266,0.974186307519641,0.473352900008248,0.263997497296779,54.5454545454545,11,0,0,0.36710456153958,0.945005611672278,0.368510222112025,0.127936171066344,28.5714285714286,7,0.660794005102042,0.977777777777778,0.583342996289426,0.977380952380952,0.483385127194223,0.263072988370046,40,15,0.420677880471518,0.108466340547262,26.6666666666667,15,0.669731245930965,0.973412698412698,0.619768057389368,0.973015873015873,0.569675781327221,0.222697026637418,68.75,16,0.493935512936444,0.198471665583585,50,16
"19","feeling_compassion",0.104666666666667,0.103181571908986,30,100,0.104222197472317,0.409785687246869,0.763736725601726,0.900112233445567,0.583534142172659,0.898989898989899,0.502594656903441,0.226389631067432,65,20,0.72365948944292,0.906846240179573,0.586313074078492,0.90347923681257,0.467265452212957,0.171507101279032,34.7826086956522,23,0.72365948944292,0.906846240179573,0.615904210903018,0.904601571268238,0.45139432474904,0.16759470427907,43.4782608695652,23,0,0,0.553184009642427,0.85297418630752,0.555471624702129,0.117538715359395,66.6666666666667,9,0.742827338440896,0.900793650793651,0.593508202397957,0.896031746031746,0.472157206923392,0.160349117391807,36,25,0.486834470496222,0.160951015935082,52,25,0.726838964151784,0.897619047619048,0.604974973821809,0.894047619047619,0.482471893535067,0.196740421345416,44,25,0.449151668815927,0.136967492918712,28,25
"20","feeling_content",0.321,0.220099507276705,30,100,0.212754030970564,0.409785687246869,0.783763282172373,0.739618406285073,0.667561983471075,0.699214365881033,0.478747874973178,0.17894555035921,35.7142857142857,28,0.741887403617074,0.712682379349046,0.660168765477015,0.682379349046016,0.537675540888857,0.147302783824893,55.1724137931034,29,0.741887403617074,0.712682379349046,0.674451629560951,0.686868686868687,0.502855388886202,0.159473384606498,51.7241379310345,29,0,0,0.539239757108096,0.626262626262626,0.514254307318525,0.0581460121108252,55.5555555555556,9,0.763101282684015,0.738492063492064,0.65995231806621,0.678174603174603,0.553704184793558,0.103317862339714,68.9655172413793,29,0.531805359020404,0.101177306678566,58.6206896551724,29,0.741257816015043,0.727777777777778,0.629671222643947,0.664285714285714,0.508411905254218,0.117401832603514,50,30,0.461124566489844,0.109901664058093,40,30
"21","feeling_enthusiastic",0.114666666666667,0.0933563190086808,30,100,0.0763693380843615,0.409785687246869,0.714440682815182,0.879910213243547,0.564264257104711,0.875420875420875,0.487266991293319,0.155831004411409,48,25,0.702093081901987,0.900112233445567,0.670423659951245,0.89337822671156,0.566790304948379,0.223564546078338,54.1666666666667,24,0.702093081901987,0.900112233445567,0.648582196194907,0.900112233445567,0.544558311472153,0.230411579159525,58.3333333333333,24,0,0,0.616329314139006,0.872053872053872,0.552155037089427,0.0512338905124418,100,9,0.692783154484713,0.89047619047619,0.641293379226564,0.884920634920635,0.553714839127837,0.126138854737704,66.6666666666667,27,0.519170652631952,0.0887453368881393,59.2592592592593,27,0.676373271868214,0.882936507936508,0.546981583452234,0.881746031746032,0.467724252054468,0.132958612010142,35.7142857142857,28,0.494954283647249,0.153036364792415,50,28
"22","feeling_grateful",0.278,0.2327111573574,30,100,0.260001693085459,0.409785687246869,0.810651972044377,0.792368125701459,0.694076535848688,0.719416386083053,0.527453368744983,0.160761943958593,50,26,0.791532312694757,0.804713804713805,0.692656821568893,0.753086419753086,0.546274462598332,0.181564613979165,62.962962962963,27,0.791532312694757,0.804713804713805,0.70956171250508,0.751964085297419,0.539843892669511,0.18612237126924,62.962962962963,27,0,0,0.568188310915367,0.667789001122334,0.498904130482989,0.0502441019444804,50,8,0.803571663793271,0.782539682539683,0.675016562384983,0.723412698412698,0.544635353016986,0.119518234519501,53.5714285714286,28,0.549252026493429,0.121069366797893,57.1428571428571,28,0.786636828795195,0.773412698412698,0.647463741643943,0.713095238095238,0.532904670033588,0.156869028062417,57.1428571428571,28,0.421386537662544,0.153077330845641,28.5714285714286,28
"23","feeling_guilty",0.0403333333333333,0.0787612425837311,30,100,0.150923317919801,0.409785687246869,0.911575948932665,0.961840628507295,0.722733200631478,0.961840628507295,0.463347471576784,0.174449520286494,40,10,0.88312512869792,0.961840628507295,0.73359530509987,0.961840628507295,0.568998263700325,0.248179822051385,55.5555555555556,9,0.88312512869792,0.961840628507295,0.732548562015238,0.961840628507295,0.548265699105753,0.161981611330705,44.4444444444444,9,0,0,0.551069377267231,0.928170594837261,0.512756143683881,0.0877935297494326,40,5,0.834234538695505,0.95952380952381,0.686401395199413,0.96031746031746,0.600113100588795,0.136329436258663,81.8181818181818,11,0.507793595745848,0.114461910317422,45.4545454545455,11,0.82076801430143,0.95952380952381,0.620872438806381,0.961904761904762,0.466453879346934,0.171772864610153,54.5454545454545,11,0.431914206269008,0.12382235600426,18.1818181818182,11
"24","feeling_happy",0.238666666666667,0.214809190924753,30,100,0.244255816154505,0.409785687246869,0.820666987333654,0.813692480359147,0.721937994665267,0.769921436588103,0.482140307460857,0.173460006546528,56,25,0.81403085007204,0.80695847362514,0.735687346385287,0.773288439955107,0.548972544689846,0.148963576588079,58.3333333333333,24,0.81403085007204,0.80695847362514,0.685739610701471,0.77665544332211,0.455608446489906,0.168247057234972,45.8333333333333,24,0,0,0.661536151362715,0.741863075196408,0.563552174912165,0.184184597127132,66.6666666666667,9,0.808695336586984,0.798412698412698,0.720567649214008,0.765873015873016,0.563053025645359,0.121013355276578,77.7777777777778,27,0.534505313468955,0.108805428628713,62.962962962963,27,0.780541416210588,0.783333333333333,0.667503819347452,0.748015873015873,0.47643583595133,0.107031160982983,40.7407407407407,27,0.483118198847913,0.0914090821175185,40.7407407407407,27
"25","feeling_resentful",0.0406666666666667,0.0625841961616142,30,100,0.0909719727599339,0.409785687246869,0.761978606240902,0.958473625140292,0.659472118488514,0.956228956228956,0.490090768825012,0.278205828030852,42.8571428571429,14,0.808716530849825,0.964085297418631,0.653867142025612,0.964085297418631,0.443243704443399,0.210719012384877,33.3333333333333,15,0.808716530849825,0.964085297418631,0.756657450523865,0.960718294051627,0.534598731640807,0.299556592962842,60,15,0,0,0.438207838561329,0.961840628507295,0.439156237797654,0.266187853172316,42.8571428571429,7,0.748597120977083,0.95952380952381,0.629013707488981,0.959126984126984,0.440838196752593,0.238347998253958,50,22,0.492793880257411,0.198033831963681,59.0909090909091,22,0.715959679404536,0.960714285714286,0.630142816016422,0.960714285714286,0.5041758573489,0.219004988583704,52.6315789473684,19,0.439282032677732,0.218437741968284,31.578947368421,19
"26","feeling_restless",0.123666666666667,0.1738902415087,30,100,0.269135887786727,0.409785687246869,0.81571263121581,0.906846240179573,0.671689418954216,0.88327721661055,0.417515907998623,0.175791421918014,27.2727272727273,22,0.822294918885828,0.909090909090909,0.723268033874095,0.896745230078563,0.528566961570875,0.194127630086345,59.0909090909091,22,0.822294918885828,0.909090909090909,0.774187582899703,0.89337822671156,0.482593738058439,0.221273683383877,45.4545454545455,22,0,0,0.445707982350581,0.930415263748597,0.495192536273241,0.0571863175712118,37.5,8,0.818695469005628,0.902777777777778,0.697807669806222,0.88452380952381,0.561776900394936,0.142946918826282,70.3703703703704,27,0.503867000418154,0.171445762861634,55.5555555555556,27,0.769270179535834,0.9,0.648294409575245,0.88015873015873,0.44792860316759,0.128829088989907,39.2857142857143,28,0.422412863370808,0.143988954465921,39.2857142857143,28
"27","feeling_sad",0.123333333333333,0.13832329280831,30,100,0.16759851897617,0.409785687246869,0.796097023453229,0.90347923681257,0.707535234260217,0.894500561167228,0.557018441090195,0.227654549846026,60.8695652173913,23,0.762893429755257,0.901234567901235,0.716273773065343,0.895622895622896,0.551813619080012,0.20282940452726,72,25,0.762893429755257,0.901234567901235,0.71143551998353,0.890011223344557,0.568783217905308,0.199545420345982,60,25,0,0,0.58346087133966,0.886644219977553,0.536566741887161,0.0905664308892415,55.5555555555556,9,0.739837016509711,0.886111111111111,0.701669318475376,0.883333333333333,0.582492195921811,0.123701685524867,68.9655172413793,29,0.516055029032668,0.132755785651114,62.0689655172414,29,0.704373134069792,0.876190476190476,0.63211507700481,0.876190476190476,0.503723374340684,0.144113186067832,44.8275862068966,29,0.457487528403058,0.138586415042857,37.9310344827586,29
