"n_features....n_features","n_samples....n_samples","n_subjects....n_subjects","feature_std","A","B","C","overall_prob_outcome","sd_outcome","time_effect","mean","sd","icc","icc_pred","auc_value_base","auc","auc_individual","auc_individual_sd","total_n","sd_intercept","sd_residual"
10,90,150,0.1,0,0.1,0.1,0.24,0.05,FALSE,0.244666666666667,0.070018521986412,0.0155858585662298,0.50634317170675,0.565338147365305,0.499836333878887,0.499833333333333,0.00204124145231931,150,0.101343050410926,0.100065430425619
10,90,150,0.1,0,0.1,0.1,0.25,0.05,FALSE,0.249703703703704,0.067637679520283,0.0134529276671113,0.511399506071577,0.551382672683762,0.49967344214467,0.499287402660804,0.00529033710374558,150,0.102256653418649,0.0999512831985675
10,90,150,0.1,0,0.1,0.1,0.26,0.05,FALSE,0.258444444444444,0.0731320537834073,0.0169788053219032,0.482119772343676,0.569952787759189,0.499295288107146,0.499050992866782,0.00731293315006519,150,0.0962103310999698,0.0997146347867787
10,90,150,0.1,0,0.1,0.1,0.27,0.05,FALSE,0.270074074074074,0.0672476137532055,0.0119581795607305,0.524798288723601,0.539545707496943,0.500053869040219,0.499708247066943,0.0106070860858436,150,0.105220762201096,0.100125393589204
10,90,150,0.1,0,0.1,0.1,0.28,0.05,FALSE,0.283555555555556,0.0708215581445348,0.0137267311308528,0.573491591372131,0.552342171595116,0.500828020628921,0.500547648501596,0.0127950970055747,150,0.115300152493821,0.0994329108249284
10,90,150,0.1,0,0.1,0.1,0.34,0.05,FALSE,0.350592592592593,0.0726558617789059,0.0122066974786586,0.524561204212657,0.55448960210865,0.501984126984127,0.501082849275537,0.0319451522538027,150,0.103744335686097,0.0987673994403434
10,90,150,0.1,0,0.1,0.1,0.31,0.05,FALSE,0.31037037037037,0.0741138347178788,0.0147106538775151,0.502198800082402,0.545126443647949,0.501177675371224,0.501198920775933,0.0224755910042725,150,0.100267833754743,0.099827861197039
10,90,150,0.1,0,0.1,0.1,0.3,0.05,FALSE,0.293555555555556,0.0710615739090848,0.0133838278845218,0.464303471589362,0.551114891432566,0.499944478424862,0.49943340991579,0.0195462610561143,150,0.0939452747362226,0.100909810670767
10,90,150,0.1,0,0.1,0.1,0.33,0.05,FALSE,0.329777777777778,0.0659333267734789,0.00865086485421816,0.544822384168957,0.547073191842617,0.497890746912029,0.497394125148461,0.0185486675489178,150,0.109769425339932,0.100333131626212
10,90,150,0.1,0,0.1,0.1,0.35,0.05,FALSE,0.344666666666667,0.066672507822655,0.00866287661701153,0.505188271987397,0.534439463450104,0.498000930206152,0.497920958578403,0.0281000627271702,150,0.101327086467538,0.100281060408807
10,90,150,0.1,0,0.1,0.1,0.32,0.05,FALSE,0.325925925925926,0.0750360110930308,0.0146754667637313,0.485166305127118,0.540146252285192,0.500964820208396,0.500195928397941,0.0200414847049356,150,0.0970604551846444,0.0999839958812822
10,90,150,0.1,0,0.1,0.1,0.29,0.05,FALSE,0.288814814814815,0.0691615765197287,0.0123098577141376,0.523679086045767,0.550654579093432,0.49832007400555,0.499054671297088,0.0182352432277219,150,0.104650792636737,0.0998067082813684
10,90,150,0.1,0,0.1,0.1,0.36,0.05,FALSE,0.363185185185185,0.0695515108032275,0.00991178127049612,0.494239886341803,0.534644274346488,0.502901420854117,0.501258501374213,0.0350861674990492,150,0.0991175843954801,0.100266095158902
10,90,150,0.1,0,0.1,0.1,0.37,0.05,FALSE,0.380074074074074,0.0635787031821903,0.00611079536267681,0.48444845459239,0.515313311968226,0.50086950317465,0.501410744017933,0.0448303947978647,150,0.0964351793244869,0.0994827430233891
10,90,150,0.1,0,0.1,0.1,0.38,0.05,FALSE,0.379703703703704,0.0677973549881309,0.00849633541068931,0.553190337036526,0.530821424442416,0.495689237111098,0.494726414151101,0.0500555153716456,150,0.111116057635716,0.099862126559895
10,90,150,0.1,0,0.1,0.1,0.39,0.05,FALSE,0.389703703703704,0.0733319398175811,0.0116251968689729,0.482344755473813,0.533052358508646,0.491816177327477,0.491724123235381,0.044529692353882,150,0.0960290113019447,0.0994818805261828
10,90,150,0.1,0,0.1,0.1,0.4,0.05,FALSE,0.40562962962963,0.0706461620792858,0.00969470400723297,0.513543669988538,0.536228180351315,0.501953530871441,0.499613866134954,0.0606313149456151,150,0.103132017608446,0.100375276216015
10,90,150,0.1,0,0.1,0.1,0.43,0.05,FALSE,0.438444444444444,0.0711123927923274,0.00953116722922622,0.466289287122998,0.537996575975414,0.505076125131452,0.506521958365366,0.0770790211147223,150,0.0926842694531782,0.0991588022801558
